nombre,mean,countNonZero,dft mean,
Sobel,[3.8522, 0, 0, 0],2090,[3.48468, 0, 0, 0]
EyeROI,[83.0886, 0, 0, 0],2084,[110.472, 0, 0, 0]
Gradient Y,[0.38, 0, 0, 0],2023,[7.86955, 0, 0, 0]
Valor absoluto Gradient Y,[5.26952, 0, 0, 0],1908,[5.19387, 0, 0, 0]
Sobel,[9.60984, 0, 0, 0],2098,[14.2649, 0, 0, 0]
Gradient Y,[0.329524, 0, 0, 0],1939,[-0.997812, 0, 0, 0]
Valor absoluto Gradient Y,[2.39286, 0, 0, 0],1589,[-0.119741, 0, 0, 0]
Sobel,[3.78498, 0, 0, 0],2084,[1.32358, 0, 0, 0]
EyeROI,[84.9695, 0, 0, 0],2084,[109.152, 0, 0, 0]
Gradient Y,[0.492857, 0, 0, 0],2028,[6.11741, 0, 0, 0]
Valor absoluto Gradient Y,[5.16048, 0, 0, 0],1876,[2.40708, 0, 0, 0]
Sobel,[9.60722, 0, 0, 0],2098,[9.17268, 0, 0, 0]
Gradient Y,[0.403571, 0, 0, 0],1926,[-3.25095, 0, 0, 0]
Valor absoluto Gradient Y,[2.50571, 0, 0, 0],1606,[1.77625, 0, 0, 0]
Sobel,[3.76348, 0, 0, 0],2087,[2.98096, 0, 0, 0]
EyeROI,[81.2748, 0, 0, 0],2084,[105.9, 0, 0, 0]
Gradient Y,[0.522143, 0, 0, 0],2026,[8.55199, 0, 0, 0]
Valor absoluto Gradient Y,[5.17905, 0, 0, 0],1897,[4.40559, 0, 0, 0]
Sobel,[9.65119, 0, 0, 0],2099,[13.9816, 0, 0, 0]
Gradient Y,[0.403095, 0, 0, 0],1916,[-0.574019, 0, 0, 0]
Valor absoluto Gradient Y,[2.47, 0, 0, 0],1599,[1.08911, 0, 0, 0]
Sobel,[3.64556, 0, 0, 0],2080,[2.03972, 0, 0, 0]
EyeROI,[79.6867, 0, 0, 0],2084,[101.075, 0, 0, 0]
Gradient Y,[-0.0116667, 0, 0, 0],2032,[5.83225, 0, 0, 0]
Valor absoluto Gradient Y,[4.9081, 0, 0, 0],1900,[2.50443, 0, 0, 0]
Sobel,[8.42311, 0, 0, 0],2097,[10.436, 0, 0, 0]
Gradient Y,[0.432381, 0, 0, 0],1896,[-2.89256, 0, 0, 0]
Valor absoluto Gradient Y,[2.23048, 0, 0, 0],1600,[1.97316, 0, 0, 0]
Sobel,[3.30071, 0, 0, 0],2080,[3.13882, 0, 0, 0]
EyeROI,[79.8724, 0, 0, 0],2089,[111.908, 0, 0, 0]
Gradient Y,[-0.10381, 0, 0, 0],2012,[3.74256, 0, 0, 0]
Valor absoluto Gradient Y,[4.67048, 0, 0, 0],1854,[5.38314, 0, 0, 0]
Sobel,[8.74066, 0, 0, 0],2095,[13.5039, 0, 0, 0]
Gradient Y,[0.413095, 0, 0, 0],1958,[-4.98467, 0, 0, 0]
Valor absoluto Gradient Y,[2.9419, 0, 0, 0],1691,[1.50558, 0, 0, 0]
Sobel,[4.03465, 0, 0, 0],2082,[3.70931, 0, 0, 0]
EyeROI,[81.2262, 0, 0, 0],2084,[112.187, 0, 0, 0]
Gradient Y,[0.0161905, 0, 0, 0],2023,[4.06597, 0, 0, 0]
Valor absoluto Gradient Y,[4.9019, 0, 0, 0],1871,[5.41267, 0, 0, 0]
Sobel,[9.13957, 0, 0, 0],2096,[11.9388, 0, 0, 0]
Gradient Y,[0.421429, 0, 0, 0],1947,[-1.66896, 0, 0, 0]
Valor absoluto Gradient Y,[2.81381, 0, 0, 0],1665,[0.81061, 0, 0, 0]
Sobel,[3.8265, 0, 0, 0],2083,[1.70063, 0, 0, 0]
EyeROI,[80.1576, 0, 0, 0],2084,[108.407, 0, 0, 0]
Gradient Y,[-0.111667, 0, 0, 0],2014,[7.07917, 0, 0, 0]
Valor absoluto Gradient Y,[4.83333, 0, 0, 0],1838,[9.58578, 0, 0, 0]
Sobel,[8.66776, 0, 0, 0],2097,[17.3251, 0, 0, 0]
Gradient Y,[0.350952, 0, 0, 0],1975,[-1.32871, 0, 0, 0]
Valor absoluto Gradient Y,[2.87952, 0, 0, 0],1708,[1.05245, 0, 0, 0]
Sobel,[3.97487, 0, 0, 0],2088,[1.23969, 0, 0, 0]
EyeROI,[80.4143, 0, 0, 0],2084,[106.712, 0, 0, 0]
Gradient Y,[-0.128571, 0, 0, 0],2006,[4.52172, 0, 0, 0]
Valor absoluto Gradient Y,[4.82762, 0, 0, 0],1840,[4.46531, 0, 0, 0]
Sobel,[8.80875, 0, 0, 0],2098,[13.8493, 0, 0, 0]
Gradient Y,[0.418095, 0, 0, 0],1963,[-1.84741, 0, 0, 0]
Valor absoluto Gradient Y,[2.59714, 0, 0, 0],1690,[1.90873, 0, 0, 0]
Sobel,[3.54054, 0, 0, 0],2088,[2.86488, 0, 0, 0]
EyeROI,[78.0619, 0, 0, 0],2084,[106.274, 0, 0, 0]
Gradient Y,[-0.0242857, 0, 0, 0],2001,[3.24572, 0, 0, 0]
Valor absoluto Gradient Y,[4.44571, 0, 0, 0],1838,[4.92675, 0, 0, 0]
Sobel,[8.46968, 0, 0, 0],2093,[14.3316, 0, 0, 0]
